Comment,Technology Related ,Public Safety Related,Gold Standard
Gimmicky labeling used by politicians to make me feel like it's worth voting for them.,0,0,Neither
"Walkable cities, better public transportation, free-Wi-Fi, affordable housing, solutions for our increasing unhoused population ",1,1,Both
clear strategy to best use technology to improve the life style of its citizens and sustain such strategic objective,1,0,Technology
A unnecessary but flashy dept funneling important funds from key city functions,0,0,Neither
Increase smart traffic management of street lights. Increase access to wifi throughout the city. Plant more trees to decrease need for A/C power usage.,1,0,Technology
"Spending money for things not in the city charter, quit for dung and lower taxes",0,0,Neither
Equal to other cites our size and population,0,0,Neither
Technology advanced usage in the community and available to all.,1,0,Technology
"Clean air, smoke free, shade tree __, more park ",0,0,Neither
"Cities that provide easy access to technology to everyone, regardless of income.",1,0,Technology
they dont have ugly utility lines everywhere - is a smart city,1,0,Technology
Cities that use technology to improve services and hence quality of life for all citizens.,1,0,Technology
Much better public transportation. Easily accessible wifi/internet for all. Stable energy grid and energy delivery. Lots of green spaces for recreational and for wildlife.,1,0,Technology
Updated and modern,0,0,Neither
Crowd sourcing as a solution to problems.,0,0,Neither
"Sustainability, access to reliable public transportation, high walkability scores, equitable distribution of resources, sustainability , and connectivity ",0,0,Neither
"Cities that use technology to make living, working, and commuting east, enjoyable, and affordable.",1,0,Technology
"Electric grid is reliable, cleaner energy (nuclear), traffic managed ",1,0,Technology
Cities that are using technology to help their citizens.,1,0,Technology
Internet access and availability to services thru computer,1,0,Technology
"Inclusive, progressive, accessible, sanitary, sustainable, resilient",0,0,Neither
"The use of sensors to efficiently control traffic, EV infrastructure, city Wi-Fi, fast connection to city services, electronic payments like getting on a bus and autopay from my device",1,0,Technology
"timed street signals, electric chargers for vehicles, clean, efficient public transit",1,0,Technology
Cities that have more tech savvy populations perhaps due to language and/or age of its residents.,1,0,Technology
"Eco friendly, carbon foot print, taking accountability for government spending and using funds in a positive way",0,0,Neither
Technology to improve city services,1,0,Technology
"Environmentally smart, technology driven, and innovative transportation.",1,0,Technology
Trains.,0,0,Neither
"Efficient, sustainable living",0,0,Neither
Easy interface between citizens and its government and our local government and State and Federal government entities.,1,0,Technology
A city where our children can go to school to learn rather than fear the possibility of harm. A city where our teachers do not have to live in fear of harm while passionately teaching.,0,1,Public Safety
City's with high speed internet access and options. Lots of places to get online and charge mobile devices.,1,0,Technology
Connected services & connected communications,1,0,Technology
More eco-friendly and cost effective programs,0,0,Neither
A technologically modern city,1,0,Technology
Computer aided government. AI,1,0,Technology
Opportunity for integration and sustainable development but also security risks,1,0,Technology
More efficient cities. Cities with rapid public transit; where it's easy to navigate via smart phone.,1,0,Technology
"A city that optimizes resources and use modern technologies to improve its residents lives. A city with limited suburban sprawl (San Antonio has a huge problem with that and apparently no one is doing anything about it), mixed used areas with medium/high density living buildings with condos at higher floors and retail space at street level (not just at the Pearl or Downtown, but everywhere), effective frequent and reliable public transportation including busses and light railway system, frequent train connections with other cities (it's ridiculous to have only one train per day to Austin that takes 3 hours to arrive there).",1,0,Technology
Walkability/ public transport; environmental sustainability; connectedness esp public health info and resources,0,0,Neither
"City-wide WiFi, rail/tram systems.",1,0,Technology
Cities that have moved past car-dependent policies of the 1940s and 50s. San Francisco has an excellent public transit system and discourages cars in urban areas. It is great for residents and tourists alike to get around. There are fantastic city planning YouTube channels that give more info about public transit and city planning as it relates to car dependency,0,0,Neither
Better safety and cheaper ways to transport,0,1,Public Safety
Public Transit!!,0,0,Neither
"Doing the most for the city and it's people using the best, affordable resources available at the time knowing that innovation does not stop.",0,0,Neither
Public transportation and walkable communities,0,0,Neither
"Heavy reliance on public transportation (buses, train), solar panels on every skyscraper, biodiverse parks and landscapes, water collection, rip out concrete drainage ditches and replace with living green ways to promote filtration, educate people about the importance of farming/native gardens",0,1,Public Safety
Test,0,0,Neither
Cleaner and better developed,0,0,Neither
Safety,0,1,Public Safety
Very innovative and energy savvy.,0,0,Neither
Easy to use technology,1,0,Technology
Pretty cities with great technology,1,0,Technology
Community,0,0,Neither
Well a lot of technology that's for sure but I also see a lot of distractions due to technology,1,0,Technology
More computer based services.,1,0,Technology
"Accessible Information to all, where to go for help fast",1,0,Technology
I would see it as a city that is hands on with more technology,1,0,Technology
The city innovating ways for the public to utilize those innovations that doesn't cause problems and/or peace of mind to trust the city.,0,1,Public Safety
Less traffic and pollution,0,0,Neither
"Using data generated by the community to inform organizational, process, or technological innovation.",1,0,Technology
A city that helps the people in business,0,0,Neither
A city of vary smart people,0,0,Neither
 Tech enthusiast,1,0,Technology
Technology,1,0,Technology
Innovative technologies to reduce pollution and reduce time in public buildings,1,1,Both
"A team that helps our communities grow with better technology and services that expand the cities outreach. I also see smart cities as a team that looks to help serve the communities issues and how to combat those problems to make it better for people and people who are majorly affected. Also making the city more efficient, increasing awareness for technology, public transportation and bringing the community together.",1,1,Both
Safe and accessible,0,1,Public Safety
New technology better improvement,1,0,Technology
Centris de estudio gratuito (Free Study Centris),0,0,Neither
A city that is up to date with smart tech,1,0,Technology
All around help with least struggle,0,0,Neither
Easy to commute,0,0,Neither
More tech being used by public,1,0,Technology
"Energy conservation, efficiency and fast paced environment.",0,0,Neither
Technologically advanced,1,0,Technology
connected.,0,0,Neither
Easy access to technology.,1,0,Technology
Responding to needs of citizens,0,0,Neither
Technology,1,0,Technology
Technology higher,1,0,Technology
Future of SATX,0,0,Neither
Forward thinking,0,0,Neither
Flying vehicles,1,0,Technology
"Smart is keeping the community safe. Analysimh the changes. People work from ho,Ed now. Neighbors blasting music at all hours isn't acceptable. Residential streets over crowded with cars. Each home should be limited to the amount of vehicles. Causes accidents and too dangerous for kids to play outside.",0,1,Public Safety
Computers,1,0,Technology
"Ability to access services by way of apps, making it self serving",1,0,Technology
Environmentally innovative city,0,0,Neither
Using technology to improve access,1,0,Technology
Everything that is used through technology,1,0,Technology
Everything on chargers,1,0,Technology
"Traffic, cleaness, environment air quality,",0,1,Public Safety
Technologies y ciudada moderno (Modern technologies and cities),1,0,Technology
We still have a long way,0,0,Neither
Tesla,1,0,Technology
A city that uses the most up-to-date technology,1,0,Technology
better technology and faster processes,1,0,Technology
Technology that helps you connect and access community services to improve your quality and safety of life,1,1,Both
" SINGAPORE and FINLAND: Computerized environmentally-friendly city with lots of greenspace and futuristic public transportation and high-speed commuter rail, plug and play innovation spaces and innovation parks, healthcare booths around the city and in parks, experiments in desalination and sourcing water from Gulf, rain capture systems across city and new ponds and lakes with fish for fishing, forage-ready public gardens and fruit trees in all green spaces, green rooftops for existing buildings, new green buildings with green vines and trees climbing exteriors, biodomes, sidewalks, collaboration and support services for small businesses and innovators (including patenting, funding, and mentoring), new experiential learning education methods tested and used at all levels, public labs in parks, high-tech teaching and learning centers, dashboards for city services and natural resources, totally digitized public services, experiments in alternative and affordable housing (even using pods), free and safe wifi in parks and across all public spaces, experiments always active in innovation in all city services, collaborations between universities and city for innovation experiments, digital interactions between citizens and city officials and staff, use of holograms, electric vehicle infrastructure, future forward and green international direct flight airports and ports, more independent and small shops, cafes and restaurants, digitized and better timed street signals (not spy cameras for police), including and diversity considered in every decision, delivery pods and drones for groceries, packages, and mail, more public gathering and sharing spaces and platforms that match citizen's skills and needs, future job training for citizens, more biking areas, public art integrated in all public spaces, one central app for city services, thinkers groups, turning garbage dumps into hiking hills and trails, bio-packaging requirements, innovations in waste management.",1,1,Both
A city were technology is integrated to make human life easier and more automated,1,0,Technology
Cities that are high tech,1,0,Technology
A technology based city like San Francisco,1,0,Technology
Environmentally safe and Smart with tech,1,1,Both
Technology based cities,1,0,Technology
"Stupid ideas from the city of San Antonio, allow the residents to speak",0,0,Neither
No idea,0,0,Neither
Idk,0,0,Neither
Better communication,0,0,Neither
"Invasion of my privacy ,a lot of efficiency but risk are to much .",0,0,Neither
Using tech features more than in the past.,1,0,Technology
Doing things to improve city services,0,0,Neither
Interconnection between public and private entities,0,0,Neither
Downtowns and parks that have access to free internet.,1,0,Technology
Interactive and energy efficient,0,0,Neither
Anything about City and it's services can be accessed on line.,1,0,Technology
Growth,0,0,Neither
Safety plans to improve our neighborhood and better pay for our first responders and policeman,0,1,Public Safety
Being able to address possible problems before they become a problem,0,0,Neither
Wise use of resources on behalf of citizens,0,0,Neither
Improvement in Technology,1,0,Technology
Easy access to the internet,1,0,Technology
High tech,1,0,Technology
A lot of wasted funds as it applies mostly to those above the average income level,0,0,Neither
access to public transportation. access to the internet,1,0,Technology
Cities using technology,1,0,Technology
Wide use of the internet to disseminate info,1,0,Technology
dumb people,0,0,Neither
internet speed that is rated #1 in the USA,1,0,Technology
economic redevelopment. Lots of small business with mom and pop operations,0,0,Neither
 All services available online. Traffic management managed real time with all traffic flow devices linked and learning from machine learning algorithms and delivering optimization real-time.,1,0,Technology
Walkable/bikeable accessibility to grocery stores/coffee shops/retail/ schools/parks,0,0,Neither
A city that is connected and accessed virtually,1,0,Technology
"Police and the District Representatives connecting with neighborhoods to help stop crime, by using lighting and cameras.",1,1,Both
Flying cars and ease of mobility.,1,,Technology
"Cities that run more efficiently utilizing technology, community members, making access to communication networks more inclusive, and overall improvement of neighborhoods based on changes. Ex: new hospitals or emergency care services in every area for autistic residents ",1,1,Both
Accessible technology. Transportation such as electric trains to commute within the city. Better road system.,1,0,Technology
"Connected to technology in ways that help them in daily life, availability of internet access to help with information about things like traffic, weather, other services.",1,1,Both
No entiendo la pregunta (I don't understand the question),0,0,Neither
Internet,1,0,Technology
A city that has internet for all and uses apps for communicating with citizens.,1,0,Technology
"Interconnected departments, services and technology that more seamlessly provides services to residents in an effective and efficient manner. ",1,0,Technology
Free widespread internet access; timed traffic signals; apps for public services and government access; free fast public transit that is reliable enough to use daily,1,1,Both
"Cities that use tech effectively and efficiently, with focus on advancing sustainability while connecting the public voice and providing equal access to tech throughout the community.",1,0,Technology
"Smart cities invest in high quality infrastructure, such as streets & drainage, public safety, and parks, that improves the daily lives of the community which allows the community to be safe, healthy and productive.",0,1,Public Safety
"connectiviity and electricity, solar power",1,0,Technology
less cars! more alterative energy everywhere; wifi in all activation areas; outdoor classrooms in public areas,1,0,Technology
"Room for all needed things in new growth, including schools, libraries, parks, and safe streets and walkways with public transportation options",0,1,Public Safety
"What comes to mind is control, cameras everywhere but at the same time opportunity to learn about new technology and how data is used.",1,0,Technology
Innovation/risks,0,0,Neither
Innovation,0,0,Neither
Sustainable and all parts work together,0,0,Neither
Working smarter not harder. See above.,0,0,Neither
Technology better services environment,1,0,Technology
Innovation,0,0,Neither
Smart turning lanes. Lines light up to help keep cars in the appropriate lanes when turning.,1,1,Both
Cities that are not just knowledgeable on technology but are willing to learn more.,1,0,Technology
"Infrastructure, connectedness, informed",0,0,Neither
Readily available access to technology.,1,0,Technology
"Connected and inclusive communities and systems that improve quality of life and increase efficiency, affordability, and sustainability.",0,0,Neither
"Rails, renewable energy sources, modern approaches and services",1,0,Technology
Building a better form of technology and innovation,1,0,Technology
"A city that encourages small businesses, such as providing incentives for in demand markets ",0,0,Neither
Everything accessible and electronic Easy to use,1,0,Technology
Online portal,1,0,Technology
More use of sustainable development,0,0,Neither
City's that use technology in an advanced way to help the citizens,1,0,Technology
Utilization of clean energy and ecological homes and buildings and environment and animal rights protection.,1,0,Technology
"More green spaces, prioritizing solar power, and building other transportation options, such as light rail. I also think that the COSA has a lot to offer our youth when it comes to their available sports, cultural, and arts programs, however we need to promote this more so that more community members know about this and can participate. ",1,0,Technology
"High speed trains, clean air",1,0,Technology
Environmental friendly and innovative,0,0,Neither
Towns,0,0,Neither
Technology. A.I.,1,0,Technology
City with more technology,1,0,Technology
Solar power,1,0,Technology
Connect and smart,0,0,Neither
Es muy avansada la tecnologia hoy en dia pero una ciudad inteligente seria muy dificil entender (Technology is very advanced today but a smart city would be very difficult to understand),1,0,Technology
What comes to mind are more opportunities to develop technologies of the future here in San Antonio. I also think about more engineering and Computer Science programs for high schoolers and even middle schoolers.,1,0,Technology
Cities with esports.,1,0,Technology
Everything going digital,1,0,Technology
"Public transport so good you don't need a car, and plenty of green spaces. A city build for people NOT vehicles ",0,0,Neither
Technologically advanced and secure,1,0,Technology
 A picture of a gadget plugged into a socket and a cell phone that turns on the lights (and turns off the lights when I am not there),1,0,Technology
Smart cities include cities where all residents have access to Internet in their home. Also infrastructures are efficient and technologically advanced.,1,0,Technology
Cities designed for the people not the cars. But with great ports of entry (air/water/ground).,0,0,Neither
Data-driven decision making on use of public funds.,1,0,Technology
 High tech forms of transportation and ample high-tech interfaces and screens to facilitate daily activities and behaviors,1,0,Technology
"Cities that provide efficient, responsive, resilient, and proactive services to their residents.",0,0,Neither
 Information access,1,0,Technology
" Public transit that everyone wants to use and is convenient to all. Green infrastructure that makes our city more sustainable, resilient and climate ready. ",0,0,Neither
"Accessibility to services and public spaces, accommodation and help for the ones who need it most. ",0,0,Neither
City designed to be successful/thrive in 20 yrs,0,0,Neither
"Efficient public transportation that connects the entire city, while cutting back on carbon emissions. ",1,0,Technology
"Free wifi, charging stations, apps that stream real time data on traffic,events,etc.",1,0,Technology
"Good design, better connected, full of opportunity ",0,0,Neither
 I'm not familiar with this term,0,0,Neither
"free, fast, and safe city-wide wifi; technology-enabled public transportation, reliable and sustainable power grid",1,1,Both
A city that understands the important of development that's sustainable and equitable. We can be a leader on equity and climate!,0,0,Neither
I think of a tech industry run city instead of local government run city. I think of the tech as detached from the local person's goals or experiences.,1,0,Technology
Cohesive working relationships focused on small business development across all industries.,0,0,Neither
Connected infrastructure and ways for residents to plug into initiatives and self-organize around shared priorities in a transparent way. Efficiencies and economies of scale through tech investments and innovation. Tap into communal brainpower and lower bar to participation. Some of the best ideas may come from people who aren't tech savvy.,1,0,Technology
Advanced technology,1,,Technology
WALKABLE CITIES WITH PUBLIC TRANSIT AND A HEALTHY ENVIRONMENT,0,1,Public Safety
Integrated and useful to everyday activities,0,0,Neither
Wi-Fi available everywhere. This is custom in Europe city centers and high traffic areas.,1,0,Technology
"Technologically savvy is what society will think, as a Clinical Nutritionist I wish it was that the citizens were educated on their health, Hosea 4:6",1,1,Both
Great infrastructure,0,0,Neither
"Wi-Fi access, smart lighting, safety",1,1,Both
"A smart city would be a city that de-emphasizes the use of cars for transit and focuses on green solutions like light rail. One that prepares for the increasing heat with more tree cover, walkability, and bike infrastructure. ",1,0,Technology
 Emerging technology,1,0,Technology
Big Brother,0,0,Neither
"Sustainability, up-to-date technology, up-to-date transportation. ",1,0,Technology
Free Wi-Fi in certain areas.,1,0,Technology
Cities that use technology and collect data on making improvements/how things are going in the city.,1,0,Technology
 A technological city that uses technology for the good of the city and citizens.,1,0,Technology
 Environmentally efficient city's with a low to zero carbon footprint.,0,0,Neither
"Mitigation of traffic via intelligent traffic solutions, and intelligent grids to mitigate power consumption. ",1,1,Both
"high speed network communications, fast transit, improved traffic management",1,1,Both
Efficient and affordable management of a city and all of its resources and population,0,0,Neither
"An expansive city with commuter trains to take people to and from various places in the city, decongesting the city highways as well as more walker friendly areas.",0,0,Neither
"Honestly, the term conjures mental images of wifi everywhere, surveillance cameras everywhere, person/phone tracking. A lot of scary technocratic 'improvements' that fail to improve things but do mean everyone is giving up privacy.",1,0,Technology
"Solar and electric cars, lights timed by the volume of traffic ",1,1,Both
"Cities that have a lot of hidden technology: smart intersections and useful utilities available, while also maintaining a level of greenery that keeps the city from looking like an urban wasteland",1,1,Both
A new buzzword for increased tax spending.,0,0,Neither
Transit,0,0,Neither
"Public transportation, well-funded bus and train infrastructure, good internet and wi-fi connectivity.""",1,0,Technology
Taking advantages of existing technology. Creating new technology where needed.,1,0,Technology
 Internet based access,1,0,Technology
Computer and high tech savvy.,1,0,Technology
A city where internet access ability isn't an issue,1,0,Technology
"Strong Towns. Walkable multi-use development. Efficient public transportation. A well developed society is not one where the poor drive cars, but where the rich take public transportation.",0,0,Neither
Sensors everywhere feeding data back to the city to improve things like traffic and public safety,1,1,Both
City service information available mainly online.,1,,Technology
Protected Bike Lanes and sustainable forms of transit. A turn away from cars and single family zoning. A smart city should have mostly mixed used urban development.,0,1,Public Safety
"Efficiency - How do we do more while consuming less. Public transportation is key, intelligent zoning, access to parks from the places where people live, less of a focus on ever expanding highways!",0,0,Neither
not sure,0,0,Neither
"Street lights, traffic signals, etc. linked to servers where issues can be seen, diagnosed, and corrected remotely and quickly. CCTV access for city services (police, fire, sanitation) to see problems perhaps before they're even reported for swift action. Water sensors to automatically alert SAWS of leaks/main breaks for quick shut-off and repair, to minimize water loss/waste. """,1,1,Both
A city driven by technology to help enhance the lives of citizens.,1,0,Technology
Big brother and that is unacceptable.,0,0,Neither
 Using technology to improve a communities' way of life.,1,0,Technology
 Livability,0,0,Neither
Cities that are up to date in technology,1,0,Technology
Connected with resources to enable citizens to leverage. This could including mapping utilities that tie traditional public transit with last mile transit.,1,0,Technology
 I've seen Smart/Safe City develop elsewhere in the world as provided by 'state-owned' companies with alleged links to foreign intelligence agencies. Transparency and oversight by democratically elected officials and perhaps human/privacy rights NFPs will be essential for this concept to be successful in the United States.,0,0,Neither
Healthy cities,0,0,Neither
 When I think of smart cities I think of places like New York City who have public transportation all throughout the state of NY.,0,0,Neither
"I have an electro magnetic frequency sensitivity so I think of being electrocuted and having headaches from too much wireless. I hope you use wirED whenever possible to protect people like me. Also as a former military web mgr, I worry about hackers taking advantage of weak passwords.",1,1,Both
Technology that makes day to day easier,1,0,Technology
Seamless transportation options,0,0,Neither
"Street side cafe's, lunch spots, live, work, play. ",0,0,Neither
Waste of money.,0,0,Neither
nothing,0,0,Neither
Using the data to make our city better equipped,1,0,Technology
Transportation- wifi everywhere,1,0,Technology
"All the public services online, free access to wifi. ",1,0,Technology
probably more charging stations for cars and community open wi-fi,1,0,Technology
"A place where people are able to access internet with little/no cost, better/more affordable public transportation. Monitor and control traffic so that there is less gridlock. ",1,0,Technology
"Electric cars/public transportation, with the internet integrated throughout the city providing advanced forecasting and analytics.",1,0,Technology
"Interconnection between public transportation, information on traffic and available city services, and use of technology to promote a healthy ecology/environment.",1,0,Technology
"Moving toward the future with technology, making strides to making our city green and caring about the environment. However, when we make these improvements, we have to keep the learning level of all ages and abilities in mind. ",1,0,Technology
"It makes me think of """"smart home"""" but I don't think that's the intention",1,,Technology
"Fiber internet, monorail-style city transportation, lessening our carbon footprint.",1,,Technology
"Improved Education and education facilities for Children Improved infrastructure
Better traffic Improved safety and security of public",0,1,Public Safety
Easy to use free access to the Internet,1,0,Technology
N/A,0,0,Neither
"Data collection of cars, pedestrians, bicycles, and other form of transport for better decision making.",1,0,Technology
"A city that makes decisions that positively impact the citizens, services and environment.",0,0,Neither
Projects work in concerts (i.e. it is sad to see a new road tore up because the utilities underneath it weren't done in concert).,0,0,Neither
Data and technology,1,0,Technology
"Rail system, shaded lush parks and rivers, no litter, no dependence on coal or gas ",0,0,Neither
A public relations firm,0,0,Neither
"cities whose citizens have easy access to relevant, up to date technology and internet services ",1,0,Technology
The color orange tubing and blocked traffic lanes while the city allows Google to dig up the streets to convert parts of the city to high speed internet.,1,0,Technology
Light rail,0,0,Neither
One who has planned for growth and all the challenges and needs of that. Need infrastructure to support it,0,0,Neither
"Free wifi everywhere, easy connection to all city services and allowing any service that can be done in person to be done online",1,0,Technology
Accessible public transportation.,0,0,Neither
"Public transit, light rail, side walks, bike lanes, and green ways. Not freeways full of uninsured oversized trucks and free range mattresses. ",0,1,Public Safety
"Making dense urban areas more walkable and having convenient, affordable mass transit options and take away dependence on cats for transportation.",0,0,Neither
"Streamline, affordable and simple public transport which keeps traffic low for those that must drive and offsets some pollution. Safe and clean walkways and parks for locals and visitors.",0,1,Public Safety
free of crime,0,1,Public Safety
"A city that isn't completely car-dependent and has reliable and convenient public transportation options. Until this city doesn't make me feel forced to operate a vehicle just to exist here, there can be nothing smart about it.",0,0,Neither
"Energy-efficient public services, universally available gigabit fiber internet service, road networks that are designed with the latest techniques (no stroads) to preserve neighborhoods while increasing throughput of major routes.",1,0,Technology
Cities that better utilise space.,0,0,Neither
"A city that incorporates many sectors and the public voice in the information it gathers to make decisions. Decisions are made with an eye on the future as well as current needs to create a healthy and safe city for all, not just the priveleged.",0,1,Public Safety
"Easy access to all major areas of the city via reliable and fast public transit - that is, a more environmentally friendly and walkable city.",0,0,Neither
Cuties with good and accesible public discourse,0,0,Neither
Cities that are smart about their use of technology.,1,0,Technology
"Expansive rail networks, with Wi-Fi access and amenities. ",1,0,Technology
Public rail systems.,0,0,Neither
Variety of public transportation options and strong environmental considerations.,0,0,Neither
"Using technology to address issues with housing, public transit, and public health",1,0,Technology
Easy to traverse cities with green technology,1,0,Technology
"Walkable areas, with multiple modes of transportation available including rail.",0,0,Neither
Cities that are working towards the greater good while intertwining technology and smart infrastructure.,1,0,Technology
"Walkable cities with fiber internet, job growth, public transportation, that utilize clean energy such as solar for public buildings, traffic lights etc, use water conservation efforts, and offer a robust recycling program",1,1,Both
A city where technology is used to integrate systems & services to make it easier and faster for citizens to access what they need,1,0,Technology
 Clean cities,0,0,Neither
"Electric vehicle charging stations, fast commuter rails, environmental conservation policies",1,0,Technology
Public railway system to move around the city conveninietly,0,0,Neither
